,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
103,50.56465853658536,18.438463414634146,85.10700000000001,44.113,24.076999999999998,-2.447,17.61219806215249,14.30117772964444,2013-04-30 00:00:00,H,1,M1,C,P
104,56.40917741935482,21.455897849462374,118.179,53.045,12.29,-1.4380000000000002,28.17261810101526,13.459942861422238,2013-05-31 00:00:00,H,1,M1,C,P
105,23.601333333333343,31.09469444444445,63.733999999999995,61.952,2.2359999999999998,5.11,11.349099359831547,15.43001982210596,2013-06-30 00:00:00,H,1,M1,C,P
106,27.50966666666665,34.52603763440858,100.361,61.457,-4.393,16.16,22.388538599788856,14.111354091506387,2013-07-31 00:00:00,H,1,M1,C,P
107,40.41199462365593,30.862430107526862,118.179,57.007,5.14,13.15,35.283429772536024,13.663889495247444,2013-08-31 00:00:00,H,1,M1,C,P
108,105.68058333333337,19.74829444444445,118.179,44.61,38.646,2.593,16.827566710467217,8.379199782260256,2013-09-30 00:00:00,H,1,M1,C,P
109,106.85275735294124,9.272058823529406,118.179,27.671,61.405,-0.934,14.109893860794374,7.183083858276522,2013-10-31 00:00:00,H,1,M1,C,P
110,70.83711904761905,17.599976190476188,109.586,35.155,17.102999999999998,1.5859999999999999,24.90509570760556,10.123888365325145,2013-04-30 00:00:00,H,1,M2,C,P
111,71.92254301075268,20.12636559139785,115.101,45.604,26.147,1.5859999999999999,22.87388343494474,10.589689452900112,2013-05-31 00:00:00,H,1,M2,C,P
112,33.068227777777786,28.196833333333334,86.251,57.007,13.549000000000001,7.122000000000001,13.484189424842459,12.164983420691476,2013-06-30 00:00:00,H,1,M2,C,P
113,34.949370967741935,33.069451612903215,106.051,57.007,9.229,16.660999999999998,21.10590084125995,12.46311109181154,2013-07-31 00:00:00,H,1,M2,C,P
114,37.97663440860216,29.956817204301064,117.954,52.55,8.503,13.15,29.78090293216124,12.019762206530594,2013-08-31 00:00:00,H,1,M2,C,P
115,94.27269999999993,20.085116666666686,115.925,44.113,37.547,2.593,14.46277151549852,8.323825624735596,2013-09-30 00:00:00,H,1,M2,C,P
116,97.8815182481751,9.644408759124092,110.884,29.668000000000003,48.461999999999996,-0.43,12.106988958195545,7.469364893029173,2013-10-31 00:00:00,H,1,M2,C,P
117,75.82314634146343,17.510853658536586,108.359,38.086,23.035999999999998,1.545,21.407662326327177,10.764868100819848,2013-04-30 00:00:00,H,2,M1,H,C
118,65.04696774193546,20.256091397849453,108.359,49.047,20.3,2.0469999999999997,23.793470615344944,11.102725236782792,2013-05-31 00:00:00,H,2,M1,H,C
119,25.354877777777777,28.66383333333332,66.943,55.016000000000005,10.53,9.075,9.899122746898472,12.213634630080325,2013-06-30 00:00:00,H,2,M1,H,C
120,27.46982258064516,32.77899999999998,96.163,57.004,4.812,16.594,19.805854255087233,11.82455856761349,2013-07-31 00:00:00,H,2,M1,H,C
